id,brand,model,year,miles,city_mileage,highway_mileage,horsepower,torque,engine_capacity_litre,fuel_capacity,num_cylinder,num_seat,num_owners,price,link,condition,type,doors,wheel_drive,engine_type,speed_levels,front_headroom,front_legroom,rear_headroom,rear_legroom,service_records
1,Chevrolet,Volt LT,2019,27173,43,42,149,294,1.5,8.9,4,5,3,25655,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664996766&city=Bellevue&state=WA&zip=98007&searchRadius=50&isNewSearch=false&marketExtension=include&showAccelerateBanner=false&sortBy=relevance&numRecords=25&requestId=USED&listingTypes=USED&referrer=%2Fcars-for-sale%2Fbellevue-wa-98007%3FsearchRadius%3D50%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26requestId%3DUSED&clickType=listing,,sedan,4,2,Hybrid_gas_electric,6,37.8,42.1,35.8,34.7,4
2,Hyundai,Elantra SE,2017,76941,29,38,146,132,2,14,4,5,2,15590,https://www.carvana.com/vehicle/2386932,,sedan,4,2,,6,39,42.2,37,35.7,16
3,Ford,Focus,2014,97027,27,37,159,146,2,12.4,4,5,3,13590,https://www.carvana.com/vehicle/2586884#vehicle-details,,sedan,4,2,,6,38.3,43.7,38,33.2,13
4,Honda,Civic,2016,95396,31,42,158,138,1.5,12.4,4,5,2,20590,https://www.carvana.com/vehicle/2558137,,sedan,4,2,,6,37.5,42.3,36.8,37.4,
5,Hyundai,Elantra SE,2019,28405,29,38,147,132,2,14,4,5,3,16787,https://www.carfax.com/vehicle/5NPD74LF6KH413647,4,sedan,4,2,,6,39,42.2,37,35.7,
6,Ferrari,Civic,2016,61459,31,41,158,138,2,12.4,4,5,2,18277,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664131474&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=SEDAN&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DSEDAN%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,6,37.5,42.3,36.8,37.4,
7,Subaru,Legacy,2022,6811,27,35,182,176,2.5,18.5,4,5,1,33777,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663323855&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=SEDAN&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DSEDAN%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,4,,6,39.4,42.8,37.2,39.5,
8,Mercedes-Benz,Clarity,2018,29674,44,40,212,99,1.5,7,4,5,1,26999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670198790&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,,39.1,42.2,37.1,36.2,
9,Volkswagen,Jetta,2019,25044,30,40,147,184,1.4,13.2,4,5,1,22491,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=669709361&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,8,38.5,41.1,37.2,37.4,
10,Land Rover,Jetta,2017,26215,28,38,150,184,1.4,14.5,4,5,2,17500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670197718&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,6,38.2,41.2,37.1,38.1,
11,Tata,Civic,2015,25939,29,37,143,129,1.8,13.2,4,5,1,19450,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670349759&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,6,37.9,42,36.2,36.2,
12,Lamborgini,Civic,2019,32270,32,42,174,162,1.5,12.4,4,5,1,22688,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=665777176&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,6,37.5,42.3,36.8,37.4,
13,Kia,Civic,2018,19950,31,40,158,138,2,12.4,4,5,1,22988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=664221096&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,6,37.5,42.3,36.8,37.4,
14,Jeep,Accord,2020,19719,30,38,192,192,1.5,14.8,4,5,1,26988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667025539&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&requestId=COUPE&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FrequestId%3DCOUPE%26searchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25&clickType=listing,,sedan,4,2,,6,37.5,42.3,37.2,40.4,
15,Isuzu,Civic,2020,16076,32,42,174,162,1.5,12.4,4,5,1,24498,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670503031&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,,6,37.5,42.3,36.8,37.4,
16,Subaru,Impreza,2019,28214,28,38,152,145,2,13.2,4,5,1,22360,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=654480738&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,,6,39.8,43.1,37.2,36.5,
17,Fiat,Accord,2020,12395,30,38,192,192,1.5,14.8,4,5,1,26788,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=660654522&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,,6,37.5,42.3,37.2,40.4,
18,Jaguar,Civic,2019,33322,30,38,158,138,2,12.4,4,5,1,22899,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=669424426&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,,6,39.3,42.3,37.1,37.4,
19,Bmw,Insight,2019,56233,55,49,151,99,1.5,10.6,4,5,2,21998,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667513422&vehicleStyleCodes=SEDAN&city=Bellevue&state=WA&zip=98007&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&listingTypes=USED&referrer=%2Fcars-for-sale%2Fsedan%2Fbellevue-wa-98007%3FsearchRadius%3D50%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,,sedan,4,2,,6,39.3,42.3,36.9,37.4,
